,Company,Revenue,Gross Margin,EBITDA Margin,Net Profit Margin,returnOnEquity,ROIC,returnOnAssets,Net Debt to EBITDA,Debt to Equity,10Y Revenue Growth (per Share),10Y Net Income Growth (per Share),5Y Revenue Growth (per Share),5Y Net Income Growth (per Share),3Y Revenue Growth (per Share),3Y Net Income Growth (per Share),PE ratio,Enterprise Value over EBITDA,priceBookValueRatio,Sector,Market Cap,priceVar,Market Capitalisation,Sector Market Cap,year
0,CMCSA,94507000000.0,1.0,0.31,0.1241,0.1638,0.0531,0.3033,3.6799,1.5604,0.1327,0.1928,0.1094,0.1463,0.1107,0.1579,13.3008,8.9618,2.1632,Consumer Cyclical,154910637384.45,32.79457340696426,10.281689874707832,1506665142327.608,2018
2,INTC,70848000000.0,0.6173,0.456,0.2972,0.2824,0.1444,0.3444,0.4557,0.3535,0.0876,0.1719,0.077,0.1872,0.0959,0.2377,10.2691,7.0919,2.8625,Technology,214188520000.0,30.295513769487663,4.6671473223395346,4589281314836.065,2018
3,MU,30391000000.0,0.5887,0.638,0.4651,0.4377,0.3052,0.4163,-0.1115,0.1436,0.1331,0.0,0.2434,0.6016,0.2035,0.6545,4.2999,3.0421,1.8919,Technology,61191608680.52,64.21373673067748,1.333359288363996,4589281314836.065,2018
6,AAPL,265595000000.0,0.3834,0.316,0.2241,0.5556,0.217,1.0497,0.5749,1.0685,0.2432,0.2833,0.1523,0.1601,0.0968,0.0898,18.9226,13.6724,10.1842,Technology,1097648982760.0,88.74246462864862,23.917666132419455,4589281314836.065,2018
7,MSFT,110360000000.0,0.6525,0.423,0.1502,0.2003,0.3104,0.1125,-1.1118,0.989,0.0827,0.0128,0.0905,-0.0379,0.0779,0.1301,46.5163,15.3298,9.2879,Technology,768396582275.03,58.25926290883441,16.74328788237463,4589281314836.065,2018
12,F,160338000000.0,0.0911,0.086,0.0229,0.1023,0.0111,0.0665,8.675,4.2918,-0.0439,0.0,0.0159,-0.2114,0.0227,-0.2076,8.2258,10.8702,0.8469,Consumer Cyclical,30430960895.25,25.537204035802425,2.0197560851668737,1506665142327.608,2018
18,T,170756000000.0,0.5349,0.355,0.1134,0.1052,0.0352,0.1429,2.8232,0.9588,0.0114,0.0,-0.0081,-0.0531,-0.0056,0.0705,10.014,6.2464,1.1283,Communication Services,207714120000.0,40.618216354998616,27.89099727856243,744735363620.9099,2018
24,ORCL,39383000000.0,0.7953,0.438,0.0911,0.0774,0.1495,0.057,-0.3854,1.3072,0.0814,-0.0209,0.0416,-0.17600000000000002,0.0326,-0.2721,53.7011,10.6814,4.0764,Technology,190725663360.0,19.158552111272424,4.155893924903423,4589281314836.065,2018
25,NKE,36397000000.0,0.4384,0.141,0.0531,0.197,0.2396,0.1427,-0.2799,0.3883,0.0902,0.0222,0.0962,-0.0296,0.0799,-0.1448,60.3361,22.296,11.7484,Consumer Cyclical,115724324345.6,38.243247618568724,7.680825758457549,1506665142327.608,2018
26,PG,66832000000.0,0.4848,0.248,0.1459,0.1844,0.0942,0.6217,1.1740000000000002,0.5916,0.0024,-0.002,-0.0189,-0.0124,0.0063,0.1435,20.8347,13.0415,3.7151,Consumer Defensive,196465657059.88,40.680272751880864,12.454771220714608,1577432885584.61,2018
29,PFE,53647000000.0,0.7903,0.34,0.2079,0.1759,0.0634,0.3546,1.2557,0.6583,0.0244,0.0466,0.0383,-0.1007,0.0492,0.1901,22.9737,15.0866,3.9866,Healthcare,252317715329.7,-6.046939564816331,9.18362682586078,2747473521236.533,2018
34,AMAT,17253000000.0,0.4531,0.312,0.192,0.484,0.3096,0.4096,0.2375,0.7756,0.1099,0.1651,0.2221,0.7268,0.2888,0.4233,9.5168,5.9182,4.4282,Technology,30590665013.52,85.65883117085035,0.6665676587449016,4589281314836.065,2018
36,XOM,290212000000.0,0.3493,0.172,0.0718,0.1087,0.0669,0.0876,0.6967,0.1971,-0.0309,-0.0574,-0.0733,-0.0797,0.0461,0.0826,13.9734,6.4843,1.5053,Energy,288703310922.3,4.9247933385599545,25.79198404889403,1119352859303.12,2018
41,BMY,22561000000.0,0.7098,0.292,0.2181,0.3507,0.2187,0.4266,-0.2334,0.5238,0.0443,0.0128,0.0679,0.1413,0.1167,0.4756,17.2691,12.6644,6.0467,Healthcare,84841692272.52,26.641747684811488,3.0879894425456005,2747473521236.533,2018
47,KR,122662000000.0,0.2201,0.037000000000000005,0.0155,0.2751,0.0622,0.106,3.358,2.2492,0.104,0.0929,0.0862,0.087,0.0742,0.0655,13.4929,8.8862,3.6024,Consumer Defensive,25092370275.18,8.690633021320489,1.590709215237424,1577432885584.61,2018
48,HAL,23995000000.0,0.1244,0.166,0.069,0.1739,0.0805,0.1088,2.0901,1.083,0.0285,-0.0282,-0.0348,-0.0437,-0.0034,0.0,14.0635,7.951,2.4341,Energy,23285309883.18,-7.406170031687082,2.0802475010138295,1119352859303.12,2018
51,GILD,22127000000.0,0.7807,0.465,0.2465,0.2551,0.2003,0.1866,-0.2686,1.2775,0.1939,0.1461,0.184,0.1588,-0.0856,-0.3022,14.8929,7.5873,3.7611,Healthcare,80915906730.6,6.367174645398372,2.9451023314751668,2747473521236.533,2018
53,FCX,18628000000.0,0.2782,0.338,0.1397,0.2656,0.1117,0.0735,1.1004,1.1371,-0.0578,0.0,-0.0924,-0.0766,-0.0162,0.0,5.7598,3.4748,1.5247,Basic Materials,14939537075.84,28.962519184694692,2.982911251483983,500837464353.244,2018
55,ATVI,7500000000.0,0.6644,0.328,0.2417,0.1591,0.1127,0.484,-0.6325,0.2345,0.0698,0.1483,0.1707,0.1926,0.1539,0.2476,19.5672,13.8304,3.1273,Technology,35535271937.26,27.35980695948599,0.7743101697074625,4589281314836.065,2018
57,NUE,25067279000.0,0.1714,0.158,0.0942,0.2411,0.1555,0.2114,0.7296,0.4382,0.0058,0.0257,0.0593,0.3743,0.1579,2.0993,6.9637,4.8325,1.661,Basic Materials,16264844897.4,10.985028287390804,3.2475295989295834,500837464353.244,2018
58,SWN,3862000000.0,0.4555,0.34600000000000003,0.139,0.2273,0.1078,0.1127,1.4862,0.9814,-0.0007,-0.056,-0.0692,-0.1419,-0.0654,0.0,3.6667,2.9687,0.8154,Energy,1982157236.62,-34.9462350085507,0.1770806426361424,1119352859303.12,2018
59,LOW,68619000000.0,0.3269,0.112,0.0502,0.5869,0.172,0.16899999999999998,2.128,2.8938,0.0962,0.0802,0.1298,0.1899,0.1269,0.1442,24.8166,13.12,14.3403,Consumer Cyclical,84220700595.5,32.3633518425123,5.5898751639922875,1506665142327.608,2018
62,SLB,32815000000.0,0.1322,0.205,0.0652,0.0591,0.0321,0.1535,1.9765,0.4439,0.0042,-0.1023,-0.0709,-0.2122,-0.0541,-0.0191,23.4286,9.416,1.3819,Energy,49963649304.8,14.184102689736106,4.4636192144009055,1119352859303.12,2018
63,FLEX,25441131000.0,0.0627,0.047,0.0168,0.142,0.059,0.1035,1.2245,0.9742,0.023,0.0,0.0619,0.1412,0.0213,-0.0791,19.7407,8.261000000000001,2.8032,Technology,8437368482.79,59.94930417128572,0.18384945057767488,4589281314836.065,2018
66,GIS,15740400000.0,0.3453,0.202,0.1354,0.34700000000000003,0.0607,2.5706,4.8477,2.5759,0.0308,0.0682,0.0003,0.0537,-0.0227,0.2219,11.5122,12.4623,3.944,Consumer Defensive,24220512515.52,45.027569214434564,1.5354385430188158,1577432885584.61,2018
67,VZ,130863000000.0,0.5758,0.316,0.1187,0.2922,0.0606,0.1806,2.668,2.1274,-0.0075,0.0,-0.055,-0.0128,-0.0054,-0.0492,14.9521,8.2863,4.3764,Communication Services,232301888978.22,14.24088630479263,31.19254171693501,744735363620.9099,2018
68,XRX,9830000000.0,0.3995,0.116,0.0367,0.0721,0.0332,0.1514,3.6241,1.045,-0.0657,0.0361,-0.0869,-0.1665,-0.0307,-0.0505,14.1143,7.7399,0.9408,Technology,4708466290.32,88.73627864997576,0.1025970291927548,4589281314836.065,2018
70,X,14178000000.0,0.1321,0.116,0.0786,0.2653,0.0935,0.1716,0.8395,0.5666,-0.0895,-0.1006,-0.0786,0.0,0.0036,0.0,2.8906,2.8051,0.7695,Basic Materials,3233379957.12,-37.5318847482328,0.6455946663845169,500837464353.244,2018
71,MAT,4514810000.0,0.3984,0.008,-0.1181,-0.812,-0.0432,-0.3057,61.5938,4.3482,-0.0223,0.0,-0.0707,0.0,-0.0801,0.0,0.0,155.5079,5.2585,Consumer Cyclical,3448056362.13,38.83196591161589,0.2288535299093193,1506665142327.608,2018
72,CTL,23443000000.0,0.5367,0.245,-0.0739,-0.0874,0.0055,-0.0702,6.1986,1.8187,-0.0144,0.0,-0.0609,0.0,-0.1202,0.0,0.0,9.0539,0.8154,Communication Services,16371987940.5,-7.004212967550644,2.1983631690187573,744735363620.9099,2018
74,DVN,10734000000.0,0.3862,0.51,0.2854,0.3336,0.0627,0.2504,0.3728,0.4849,-0.0304,0.0,-0.0219,0.0,-0.105,0.0,3.671,2.3014,1.1488,Energy,10553228000.0,13.438387893337033,0.9427972522060796,1119352859303.12,2018
80,KO,31856000000.0,0.6305,0.316,0.202,0.3789,0.0987,1.1197,2.7926,2.6037,0.0081,0.0188,-0.0668,-0.0484,-0.0976,-0.0365,31.3576,22.823,11.8842,Consumer Defensive,201545933070.3,21.67873851751337,12.776830945527381,1577432885584.61,2018
83,COP,38727000000.0,0.4692,0.429,0.1616,0.1959,0.1256,0.1213,0.4419,0.4686,-0.1466,0.0,-0.0684,-0.0633,0.1005,0.0,11.6325,4.7619,2.2469,Energy,71779931716.8,4.896407928260095,6.41262771790196,1119352859303.12,2018
85,DIS,59434000000.0,0.4494,0.3,0.212,0.2583,0.1212,0.442,0.9371,0.428,0.0707,0.1363,0.0955,0.1967,0.0858,0.1931,13.8381,10.6243,3.5511,Consumer Cyclical,172877079359.04,34.346651812448485,11.474154044074233,1506665142327.608,2018
87,CVX,166339000000.0,0.2786,0.245,0.0891,0.0959,0.0603,0.0842,0.5924,0.223,-0.0425,-0.0409,-0.0606,-0.0698,0.0577,0.471,13.9296,5.6991,1.345,Energy,207873143603.51,13.294984217372768,18.570832412303517,1119352859303.12,2018
