11	2MASS J02192210-3925225	b	Imaging	1		156			13.9	Mass	1.440		0	0	0	0	02h19m22.11s	34.842106	-39d25m22.5s	-39.422928	39.40				3064.00	0.11	0.28	2015-05-14	2MASS J02192210-3925225 b	0	0	1	0	0	0	3.96000e+03						13.90000		4417.83700		4417.83700	16.141	0.148									<a href=http://adsabs.harvard.edu/cg	Thu Jan 01 2015 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Cerro Tololo Inter-American Observat	1.5 m CTIO Telescope	SIMON Near-Infrared Spectroimager	3	0	8	4	http://exoplanet.eu/catalog/2m_0219-		2015-06			2.32280707	252.453768	-67.984453	13.508497	-49.304780										10.60	6.60	M6	4.59	-2.230				0.035	6.5000					0	0	0	0	0	3	0			18.500	15.230	13.420	11.381	10.811	10.404	10.148	9.901	9.614	9.001												10											0
12	2MASS J04414489+2301513	b	Imaging	1		15			7.5	Mass			0	0	0	0	04h41m44.90s	70.437073	+23d01m51.4s	23.030941	140.00					0.02		2014-05-14	2MASS J04414489+2301513 b	0	0	1	0	0	0	1.07000e+02						7.50000		2383.60000		2383.60000											<a href=http://adsabs.harvard.edu/cg	Fri Jan 01 2010 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Space	Hubble Space Telescope	2.4 m Hubble Space Telescope	WFPC2 Camera	3	0	3	3	http://exoplanet.eu/catalog/2m_0441%		2010-05			4.69580487	176.510593	-15.114249	72.050227	0.802440											6.85	M8.5						0.001						0	0	0	0	0	3	0						14.419	13.726	13.161																3					0.693	0.565	1.258				3
13	2MASS J12073346-3932539	b	Imaging	1		46			4	Mass			0	0	0	0	12h07m33.47s	181.889447	-39d32m54.0s	-39.548332	52.40	20.150	V (Johnson)			0.02		2014-05-14	2MASS J12073346-3932539 b	0	0	1	0	0	0	8.78000e+02				1150		4.00000		1271.00000		1271.00000											<a href=http://adsabs.harvard.edu/cg	Thu Jan 01 2004 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Paranal Observatory	8.2 m ESO VLT UT4 Yepun Telescope	NACO Camera	3	0	7	7	http://exoplanet.eu/catalog/2m_1207-		2004-10			12.12596313	293.790363	22.543297	199.743654	-35.034839											6.80	M8						0.008						0	0	0	0	0	3	0		20.150				12.995	12.388	11.945	11.574	11.017	9.469	8.121												8					0.607	0.443	1.050				3
14	2MASS J19383260+4603591	b	Eclipse Timing Variations	1	416	0.92			1.9	Mass			0	1	0	0	19h38m32.61s	294.635865	+46d03m59.1s	46.066418		12.264	Kepler-band			0.48		2015-06-04	2MASS J19383260+4603591 b	0	0	0	0	0	1							1.90000		603.87700		603.87700											<a href=http://adsabs.harvard.edu/cg	Thu Jan 01 2015 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Space	Kepler	0.95 m Kepler Telescope	Kepler CCD Array	3	0	8	6	http://exoplanet.eu/catalog/2m_1938%		2015-05			19.64239100	79.018713	11.674389	314.709288	65.725374																								0	0	0	0	0	3	0						12.757	12.889	12.955	12.862	12.920	12.670	9.203												13					-0.132	-0.066	-0.198				5
15	2MASS J21402931+1625183 A	b	Imaging	1	7336.5		0.26	46.2	20.95	Mass	0.920		0	0	0	0	21h40m29.32s	325.122159	+16d25m18.3s	16.421759	25.00				2300.00	0.08	0.12	2014-05-14	2MASS J21402931+1625183 A b	0	1	1	0	0	0			223.0000		2075		20.95000		6657.48000		6657.48000	10.31	0.090									<a href=http://adsabs.harvard.edu/ab	Thu Jan 01 2009 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/ab	Ground	W. M. Keck Observatory	10 m Keck II Telescope	NIRC2 Camera	3	0	11	4	http://exoplanet.eu/catalog/2m_2140+		2010-03			21.67481060	70.485103	-26.437255	333.590507	28.526095										13.00	6.85	M8.5		-3.480										0	0	0	0	0	3	0						12.940	12.266	11.826	11.375	11.135	10.687	8.971												7					0.674	0.440	1.114				3
16	2MASS J22362452+4751425	b	Imaging	1		230			12.5	Mass			0	0	0	1	22h36m24.53s	339.102203	+47d51m42.6s	47.861820	74.00	12.510	V (Johnson)		4045.00	0.60		2016-11-10	2MASS J22362452+4751425 b	0	0	1	0	0	0	3.11000e+03						12.50000		3972.87500		3972.87500											<a href=http://adsabs.harvard.edu/ab	Fri Jan 01 2016 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/ab	Ground	W. M. Keck Observatory	10 m Keck II Telescope	NIRC2 Camera	3	0	4	4	http://exoplanet.eu/catalog/2m_2236%					22.60681356	100.748288	-9.108906	6.858823	50.853569										-21.50	5.70	K7 V						0.120						0	0	0	0	0	3	0		12.510	13.730			9.975	9.338	9.148	9.058	9.094	8.947	8.731												12					0.637	0.190	0.827				3
17	30 Ari B	b	Radial Velocity	1	335.1	0.995	0.289		9.88	Msini			0	0	0	0	02h36m57.74s	39.240585	+24d38m53.0s	24.648064	39.43			6.938	6300.00	1.16	1.13	2014-05-14	30 Ari B b	1	1	0	0	0	0	2.52000e+01	2454538.000000	307.0000	272.000				9.88000		3140.03000	3140.03000											<a href=http://adsabs.harvard.edu/cg	Thu Jan 01 2009 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Thueringer Landessternwarte Tautenbu	2.0 m Alfred Jensch Telescope	Coude Echelle Spectrograph	3	0	27	23	http://exoplanet.eu/catalog/30_ari_b	http://exoplanets.org/detail/30_Ari_	2009-12	HD 16232	HIP 12184	2.61603902	151.476148	-32.309491	44.567804	8.854811	25.36	21.42	46.68	142.600	-13.500	143.200	147.200	-12.400	147.800	17.20	3.60	F6 V	4.50			0.245	[Fe/H]	0.910	38.3000			29.860		2	0	1	1	0	3	0			7.458			6.080	5.908	5.822	5.963	5.669	5.825	5.679								4.617e+00	3.392e+00	1.184e+00	-1.031e+00	20		0.496			0.172	0.086	0.258	0.332	0.163	0.390	8
18	4 UMa	b	Radial Velocity	1	269.3	0.87	0.432		7.1	Msini			0	0	0	0	08h40m12.82s	130.053406	+64d19m40.6s	64.327934	77.40	4.610	V (Johnson)		4415.00	1.23	18.11	2014-05-14	4 UMa b	0	1	0	0	0	0	1.12000e+01	2452987.393600	23.8100	215.550				7.10000		2256.50000	2256.50000											<a href=http://adsabs.harvard.edu/cg	Sun Jan 01 2006 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Thueringer Landessternwarte Tautenbu	2.0 m Alfred Jensch Telescope	Coude Echelle Spectrograph	3	0	17	17	http://exoplanet.eu/catalog/4_uma_b/	http://exoplanets.org/detail/4_UMa_b	2007-09	HD 73108	HIP 42527	8.67022705	151.358914	35.956900	112.813312	44.028066	12.92			-56.100	25.900	61.800					5.10	K1 III	1.80			-0.250	[Fe/H]	4.604		0.124				1	0	1	0	0	3	0	6.940	4.610	5.780			2.619	2.021	1.734	-0.342	0.100	1.817	1.755								1.334e+00	1.346e+00	1.184e+00	-9.160e-01	19	1.160	1.170			0.598	0.287	0.885				7
19	42 Dra	b	Radial Velocity	1	479.1	1.19	0.38		3.88	Msini			0	0	0	0	18h25m59.14s	276.496399	+65d33m48.5s	65.563484	97.28	4.820	V (Johnson)		4200.00	0.98	22.03	2014-05-14	42 Dra b	0	1	0	0	0	0	1.22000e+01	2452757.400000	218.7000	110.500				3.88000		1233.13000	1233.13000											<a href=http://adsabs.harvard.edu/cg	Tue Jan 01 2008 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Thueringer Landessternwarte Tautenbu	2.0 m Alfred Jensch Telescope	Coude Echelle Spectrograph	3	0	17	17	http://exoplanet.eu/catalog/42_dra_b	http://exoplanets.org/detail/42_Dra_	2009-06	HD 170693	HIP 90344	18.43309326	95.419171	27.125611	342.267090	87.183386	10.28			105.100	-26.900	108.500					5.15	K1.5 III	1.71			-0.460	[Fe/H]	9.490	1.0000					2	0	1	1	0	3	0	7.120	4.820	6.010			2.949	2.197	2.085	-0.152	0.372	2.022	1.892								1.445e+00	1.663e+00	1.755e+00	-9.840e-01	19	1.110	1.190			0.752	0.112	0.864				7
20	47 UMa	b	Radial Velocity	3	1078	2.1	0.032		2.53	Msini			0	0	0	0	10h59m27.97s	164.866562	+40d25m48.9s	40.430256	14.08	5.050	V (Johnson)		5892.00	1.03	1.23	2014-05-14	47 UMa b	0	1	0	0	0	0	1.49000e+02	2451917.000000	334.0000	48.400				2.53000		804.08000	804.08000											<a href=http://adsabs.harvard.edu/ab	Mon Jan 01 1996 01:00:00 GMT+0100 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Lick Observatory	3.0 m C. Donald Shane Telescope	Hamilton Echelle Spectrograph	3	0	55	41	http://exoplanet.eu/catalog/47_uma_b	http://exoplanets.org/detail/47_UMa_	1996-06	HD 95128	HIP 53721	10.99110413	175.782531	63.369127	149.069855	31.061608	71.04			-317.200	56.600	322.200				11.10	4.00	G0 V	4.27			0.000	[Fe/H]	7.300	2.9000	0.154	-5.020			10	0	1	9	0	4	3	5.790	5.050	5.660			3.960	3.736	3.750	3.556	3.143	3.586	3.553					3.568e+00	3.465e+00		3.130e+00	3.262e+00	1.184e+00	-9.160e-01	27	0.130	0.610			0.224	-0.014	0.210	0.392	0.199	0.355	11
21	47 UMa	c	Radial Velocity	3	2391	3.6	0.098		0.54	Msini			0	0	0	0	10h59m27.97s	164.866562	+40d25m48.9s	40.430256	14.08	5.050	V (Johnson)		5892.00	1.03	1.23	2014-05-14	47 UMa c	0	1	0	0	0	0	2.56000e+02	2452441.000000	295.0000	8.000				0.54000		171.62100	171.62100											<a href=http://adsabs.harvard.edu/ab	Mon Jan 01 2001 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Lick Observatory	3.0 m C. Donald Shane Telescope	Hamilton Echelle Spectrograph	3	0	41	41	http://exoplanet.eu/catalog/47_uma_c	http://exoplanets.org/detail/47_UMa_	2002-01	HD 95128	HIP 53721	10.99110413	175.782531	63.369127	149.069855	31.061608	71.04			-317.200	56.600	322.200				11.10	4.00	G0 V	4.27			0.000	[Fe/H]	7.300	2.9000	0.154	-5.020			10	0	1	9	0	4	3	5.790	5.050	5.660			3.960	3.736	3.750	3.556	3.143	3.586	3.553					3.568e+00	3.465e+00		3.130e+00	3.262e+00	1.184e+00	-9.160e-01	27	0.130	0.610			0.224	-0.014	0.210	0.392	0.199	0.355	11
22	47 UMa	d	Radial Velocity	3	14002	11.6	0.16		1.64	Msini			0	0	0	0	10h59m27.97s	164.866562	+40d25m48.9s	40.430256	14.08	5.050	V (Johnson)		5892.00	1.03	1.23	2014-05-14	47 UMa d	0	1	0	0	0	0	8.24000e+02	2451736.000000	110.0000	13.800				1.64000		521.22000	521.22000											<a href=http://adsabs.harvard.edu/ab	Thu Jan 01 2009 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/ab	Ground	Lick Observatory	3.0 m C. Donald Shane Telescope	Hamilton Echelle Spectrograph	3	0	34	41	http://exoplanet.eu/catalog/47_uma_d		2010-04	HD 95128	HIP 53721	10.99110413	175.782531	63.369127	149.069855	31.061608	71.04			-317.200	56.600	322.200				11.10	4.00	G0 V	4.27			0.000	[Fe/H]	7.300	2.9000	0.154	-5.020			10	0	1	9	0	4	3	5.790	5.050	5.660			3.960	3.736	3.750	3.556	3.143	3.586	3.553					3.568e+00	3.465e+00		3.130e+00	3.262e+00	1.184e+00	-9.160e-01	27	0.130	0.610			0.224	-0.014	0.210	0.392	0.199	0.355	11
23	51 Eri	b	Imaging	1		13.2			2	Mass			0	0	0	1	04h37m36.13s	69.400551	-02d28m24.8s	-2.473548	29.40	5.230	V (Johnson)			1.75		2015-08-14	51 Eri b	0	0	1	1	0	0	4.49000e+02				700		2.00000		635.66000		635.66000											<a href=http://adsabs.harvard.edu/cg	Thu Jan 01 2015 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Gemini Observatory	8.19 m Gemini South Telescope	Gemini Planet Imager	3	0	16	23	http://exoplanet.eu/catalog/51_eri_b		2015-08	HD 29391	HIP 21547	4.62670339	198.612620	-30.657612	67.313442	-24.305028				43.600	-64.100	77.500				17.30	3.00	F0 IV		0.850		-0.027	[M/H]	0.020	71.8000			30.120		1	0	1	0	0	3	0	5.550	5.230	5.510	5.380	4.889	4.744	4.770	4.537	4.543	4.310	4.575	4.390					4.487e+00	3.823e+00		4.244e+00	3.575e+00	1.184e+00	-9.160e-01	30	0.040	0.280	0.326	0.165	-0.026	0.233	0.207				10
24	51 Peg	b	Radial Velocity	1	4.230785	0.0527	0.013		0.472	Msini			0	0	0	0	22h57m27.98s	344.366577	+20d46m07.8s	20.768833	15.36	5.500	V (Johnson)		5793.00	1.12	1.20	2014-05-14	51 Peg b	0	1	0	0	0	0	3.43000e+00	2450001.510000	58.0000	55.940				0.47200		150.00900	150.00900											<a href=http://adsabs.harvard.edu/cg	Sun Jan 01 1995 01:00:00 GMT+0100 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Haute-Provence Observatory	1.93 m Telescope	ELODIE Spectrograph	3	0	54	42	http://exoplanet.eu/catalog/51_peg_b	http://exoplanets.org/detail/51_Peg_	1995-11	HD 217014	HIP 113357	22.95777181	90.062611	-34.727214	354.284094	25.186477	65.10			207.900	59.800	216.300				-33.25	4.25	G2.5 IV	4.33			0.200	[Fe/H]	4.000	2.0000	0.148	-5.080			6	0	1	5	0	4	4	6.370	5.500	6.170			4.655	4.234	3.911	3.909	3.624	3.929	3.904					3.948e+00	3.649e+00		3.546e+00	3.407e+00	1.184e+00	-9.160e-01	23	0.200	0.670			0.421	0.323	0.744	0.420	0.234	0.374	20
