,Company,Revenue,Gross Margin,EBITDA Margin,Net Profit Margin,returnOnEquity,ROIC,returnOnAssets,Net Debt to EBITDA,Debt to Equity,10Y Revenue Growth (per Share),10Y Net Income Growth (per Share),5Y Revenue Growth (per Share),5Y Net Income Growth (per Share),3Y Revenue Growth (per Share),3Y Net Income Growth (per Share),PE ratio,Enterprise Value over EBITDA,priceBookValueRatio,Sector,Market Cap,priceVar,Market Capitalisation,Sector Market Cap,year
0,PG,65058000000.0,0.4983,0.333,0.2356,0.2748,0.0971,0.9474,0.7592,0.5664,0.0068,0.062,-0.032,0.0883,-0.0256,0.1167,15.0259,11.0432,3.9961,Consumer Defensive,222896093914.2,4.975150851116607,15.209373935230792,1465517876432.0237,2017
2,KR,115337000000.0,0.224,0.05,0.0171,0.2949,0.0844,0.1068,2.374,2.1017,0.1023,0.104,0.0986,0.3266,0.0856,0.1237,16.1538,7.8143,4.6653,Consumer Defensive,31520988408.0,-0.9904489187425342,2.150842982873847,1465517876432.0237,2017
4,GIS,15619800000.0,0.3565,0.206,0.1061,0.383,0.0959,0.6854,2.714,2.1908,0.042,0.0571,0.0105,0.0351,-0.0238,-0.0104,20.0603,12.8628,7.5307,Consumer Defensive,32591979691.14,-31.28041182968117,2.22392235640885,1465517876432.0237,2017
6,KO,35410000000.0,0.6257,0.252,0.0352,0.0731,0.0869,0.0711,3.0318,2.7932,0.0288,-0.1382,-0.0491,-0.3196,-0.0754,-0.4348,155.4266,24.811,11.3717,Consumer Defensive,194030789570.64,7.570640532756395,13.239742257053248,1465517876432.0237,2017
7,WMT,485873000000.0,0.2565,0.066,0.0281,0.1754,0.1127,0.13,1.2099,0.5905,0.0648,0.0497,0.0396,-0.0061,0.0245,-0.0354,15.1682,7.561,2.6268,Consumer Defensive,205104721022.44,-3.2752502280311164,13.995374899267121,1465517876432.0237,2017
8,MDLZ,25896000000.0,0.3875,0.181,0.1092,0.1088,0.0401,7.0,3.6,0.6791,-0.0287,0.0074,-0.0254,0.0186,-0.0527,0.1333,22.6791,17.1074,2.4381,Consumer Defensive,63377020441.18,-3.3879000482479693,4.324547756147393,1465517876432.0237,2017
14,NWL,9552000000.0,0.3416,0.238,0.2878,0.1943,0.0085,0.4048,4.4241,0.7459,-0.0157,0.1291,0.0074,0.3259,-0.0183,0.6041,5.6,11.24,1.0914,Consumer Defensive,15506764000.0,-38.988859428606865,1.0581081438428475,1465517876432.0237,2017
16,CPB,5837000000.0,0.4184,0.293,0.152,0.5418,0.1481,0.4528,1.8791,2.16,0.0,0.0277,-0.033,0.0356,-0.1009,0.0178,18.1546,11.2313,9.7463,Consumer Defensive,16010946508.41,-28.04266064489173,1.0925111706853101,1465517876432.0237,2017
17,TGT,70271000000.0,0.3006,0.104,0.0389,0.2496,0.127,0.1142,1.3951,1.164,0.0583,0.0388,0.0341,0.0188,0.0273,0.1511,13.556,6.3032,3.2777,Consumer Defensive,36015913151.68,0.9869942713685412,2.45755536188784,1465517876432.0237,2017
18,HRL,9167519000.0,0.2185,0.155,0.0924,0.1715,0.1418,0.3899,-0.1365,0.0506,0.044,0.1129,0.0212,0.1105,-0.0058,0.1195,18.8437,11.0553,3.2251,Consumer Defensive,15914020109.4,20.441642182950368,1.0858973722070562,1465517876432.0237,2017
